Name,Street,Municipality,Categories,Time Zone,Phone,Phones,Owner,Email,Social Medias,Review Count,Average Rating,Google Maps URL,Latitude,Longitude,Website,Domain,Image,Place Id,Sport
Equip Sport Location (Padel),Chem. du Gamay,1233 Bernex,"Sports equipment rental service, Adventure sports center, Athletic field",Europe/Zurich,+41 21 539 16 49,"021 539 16 49, +41 21 539 16 49",Equip Sport Location (Padel) (Owner),,"facebook: https://www.facebook.com/Equip.Sport.Application
instagram: https://www.instagram.com/equip.sport.app
linkedin: https://www.linkedin.com/company/equipsport
youtube: https://www.youtube.com/@equip_sport",,,https://www.google.com/maps?cid=2638316711331394895,46.1716944,6.0723933,https://equip.sport/?utm_source=uberall,equip.sport,https://lh3.googleusercontent.com/p/AF1QipPiPXrzqWL5pKakRhJA_zDMkLvLoZPlvdWNOg8i,ChIJ1YwBp8B9jEcRT3XiDxIvnSQ,padel
Padel Academy,,,"Padel club, Service establishment",Europe/Zurich,+33 6 51 71 23 46,"06 51 71 23 46, +33 6 51 71 23 46",Padel Academy (Owner),hello@padel-academy.ch,"facebook: https://www.facebook.com/padelacademyswitzerland
instagram: https://www.instagram.com/_padelacademy_",2,5,https://www.google.com/maps?cid=4962903297204186812,46.8131873,8.224119,https://www.padel-academy.ch/,padel-academy.ch,,ChIJ9TBnKN97jEcRvG54FEHG30Q,padel
Tennis Club De Brunstatt,11 Rue du Bitz,68350 Brunstatt-Didenheim,"Sports club, Horse riding school",Europe/Paris,+33 3 89 06 09 04,"03 89 06 09 04, +33 3 89 06 09 04",Tennis Club De Brunstatt (Owner),,"facebook: https://www.facebook.com/tcbrunstatt,https://facebook.com/169374093670,https://www.facebook.com/169374093670",20,4.4,https://www.google.com/maps?cid=2663639507176580201,47.7248611,7.3133049,http://www.tcbrunstatt.net/,tcbrunstatt.net,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwYBJMWXvVJ96X4N06iG9jtS5-U6OvdQQc5Hzgchq6zf6D8sxxnwYEm0hUShE_4fJj5t0QJkxNn5AdDUBAmGMU7Gu_0wnIWOCg8CtiaDLMoHlieY6Ejnr3sKqIAVE-L4p9fel1C,ChIJJbymx-CakUcRaeT06gQm9yQ,padel
Equip Sport Location (Padel),Chem. des Sources 21,1723 Marly,"Sports equipment rental service, Adventure sports center, Athletic field",Europe/Zurich,+41 21 539 16 49,"021 539 16 49, +41 21 539 16 49",Equip Sport Location (Padel) (Owner),,"facebook: https://www.facebook.com/Equip.Sport.Application
instagram: https://www.instagram.com/equip.sport.app
linkedin: https://www.linkedin.com/company/equipsport
youtube: https://www.youtube.com/@equip_sport",,,https://www.google.com/maps?cid=1396865904274253323,46.7698776,7.1689596,https://equip.sport/?utm_source=uberall,equip.sport,https://lh3.googleusercontent.com/p/AF1QipOkAiyniTjA6RSmXJ3KFzDWAoW4CYW162JB9W22,ChIJmSz6ButpjkcRCyYflyOqYhM,padel
Equip Sport Location (Padel),Centre sportif En Bord,1196 Gland,"Sports equipment rental service, Adventure sports center, Athletic field",Europe/Zurich,+41 21 539 16 49,"021 539 16 49, +41 21 539 16 49",Equip Sport Location (Padel) (Owner),,"facebook: https://www.facebook.com/Equip.Sport.Application
instagram: https://www.instagram.com/equip.sport.app
linkedin: https://www.linkedin.com/company/equipsport
youtube: https://www.youtube.com/@equip_sport",,,https://www.google.com/maps?cid=3352790938735221894,46.4282352,6.2769364,https://equip.sport/?utm_source=uberall,equip.sport,https://lh3.googleusercontent.com/p/AF1QipNw6wxWbAO6Y8u1bIQ8ZfBQrM3wJT9FUwvu7qkc,ChIJW1zhHThFjEcRhhx2TZiBhy4,padel
Tennis Club De Thonon,Av. de la Grangette,74200 Thonon-les-Bains,"Tennis club, Sports, Tennis instructor",Europe/Paris,+33 4 50 71 69 51,"04 50 71 69 51, +33 4 50 71 69 51",Tennis Club De Thonon (Owner),,,16,4.6,https://www.google.com/maps?cid=17493572623742027162,46.3624051,6.4680129,http://www.club.fft.fr/,club.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSynzS9W_HNOokebmQSRxr_Xsk7qN7sOyb3MDZThBPJYyLiPZp0UdbUobDIttteFhBlz_0BkSjn1eUZ6lOjYhl449-02tQkfYZmMRNQQbij_IwqDAquGnJu7lvBTdBOLMtjnBP0,ChIJWwYkK10-jEcRmkWkyp2nxfI,padel
Equip Sport Location (Padel),Chem. de Nandillier,1868 Collombey,"Sports equipment rental service, Adventure sports center, Athletic field",Europe/Zurich,+41 21 539 16 49,"021 539 16 49, +41 21 539 16 49",Equip Sport Location (Padel) (Owner),,"facebook: https://www.facebook.com/Equip.Sport.Application
instagram: https://www.instagram.com/equip.sport.app
linkedin: https://www.linkedin.com/company/equipsport
youtube: https://www.youtube.com/@equip_sport",,,https://www.google.com/maps?cid=7253771820685868564,46.279021,6.9411215,https://equip.sport/?utm_source=uberall,equip.sport,https://lh3.googleusercontent.com/p/AF1QipNBrSingVCLPW1P3JCinmV8ZjTMjBuWB_7a-YDB,ChIJlRtoHd69jkcRFD647QmTqmQ,padel
Tennis et padel,1899 Vionnaz,Switzerland,Tennis club,Europe/Zurich,,,Tennis et padel (Owner),,,,,https://www.google.com/maps?cid=11558936176019797372,46.3138599,6.8699082,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1FTg_U0u3iP07Swz5lF4Sw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=329.90326&pitch=0&thumbfov=100,ChIJg5IeUQCZjkcRfHUS0TWXaaA,padel
Tennis Club Grandson,Chem. du Pécos,1422 Grandson,Tennis club,Europe/Zurich,,,Tennis Club Grandson (Owner),,,15,4.3,https://www.google.com/maps?cid=3249602540587251514,46.8019139,6.6346693,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZ0nCvkDwNExBqia2xR7n8vm5md7hfrfJ8iEhx1WjTow3nTnzMjSXDK7hKa1VxVgS6OeS_pvg-yXYa2BrBv4nxBqwTo-QC53Bbltk_xs4HBiyrrKf6MU-TFmDvtwMN0L5Gyuo,ChIJUcCHN5zFjUcROvfoJEvoGC0,padel
FLEYRIAT (TENNIS SQUASH),Le Vieux Fleyriat,01440 Viriat,"Tennis club, Sports club",Europe/Paris,+33 6 21 43 13 10,"06 21 43 13 10, +33 6 21 43 13 10",FLEYRIAT (TENNIS SQUASH) (Owner),,,1,5,https://www.google.com/maps?cid=11612807503076134347,46.2336195,5.2065016,https://tenup.fft.fr/club/50010156?utm_source=gmb,tenup.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwE_UCOupjJVXkp7nruPwFwMyizgr7zUMKqsm5RHWLTQRTzOORkYfGGc3yZXcUagC7jzaxCdXk34iLu3rUdk4NmiaV2sZMMxNtd1trVmE0IWOBrFH0axnbZUEXlmQUGSokOCeHWig,ChIJYas9QCBR80cRyw3YkeX6KKE,padel
Equip Sport Location (Padel),Rte de Crevel 301,1468 Cheyres-Châbles,"Sports equipment rental service, Adventure sports center, Athletic field",Europe/Zurich,+41 21 539 16 49,"021 539 16 49, +41 21 539 16 49",Equip Sport Location (Padel) (Owner),,"facebook: https://www.facebook.com/Equip.Sport.Application
instagram: https://www.instagram.com/equip.sport.app
linkedin: https://www.linkedin.com/company/equipsport
youtube: https://www.youtube.com/@equip_sport",,,https://www.google.com/maps?cid=10496322027895687075,46.8096419,6.7736515,https://equip.sport/?utm_source=uberall,equip.sport,https://lh3.googleusercontent.com/p/AF1QipMOOWT-QLycwQTorzjixrGe0GgNqFLRkKSVGjLU,ChIJS8RRqF3bjUcRo4fUwEVtqpE,padel
Tennis Club Mâcon,202 Rue Pierre de Coubertin,71000 Mâcon,Tennis club,Europe/Paris,+33 7 67 27 09 80,"07 67 27 09 80, +33 7 67 27 09 80",Tennis Club Mâcon (Owner),,"facebook: https://www.facebook.com/tennismacon
instagram: https://www.instagram.com/tennismacon",30,4.4,https://www.google.com/maps?cid=6661736715426198078,46.318645,4.840315,https://www.tennismacon.fr/,tennismacon.fr,https://lh3.googleusercontent.com/p/AF1QipMTI9n_FpWs6LJZF8QXIJNhBUbY5wJ_YUS9DgKD,ChIJn97kJtxv80cRPvInTj8-c1w,padel
TENNIS CLUB OYONNAX,146 Bis Cr de Verdun,01100 Oyonnax,"Tennis club, Padel club",Europe/Paris,+33 4 74 77 81 96,"04 74 77 81 96, +33 4 74 77 81 96",TENNIS CLUB OYONNAX (Owner),,,21,4.7,https://www.google.com/maps?cid=4184248794995296408,46.2546826,5.6420545,https://tenup.fft.fr/club/50010044?utm_source=gmb,tenup.fft.fr,https://lh3.googleusercontent.com/p/AF1QipMq55zdE8tg7PSomtv33S3DsdfXdTQcTOaQDgg,ChIJua5GrUm9jEcRmAiNJRxwETo,padel
Tennis Club de Gravelone Sion,Chem. de l'Agasse 11,1950 Sion,Tennis club,Europe/Zurich,+41 76 497 39 36,"076 497 39 36, +41 76 497 39 36",Tennis Club de Gravelone Sion (Owner),info@tcgravelone.ch,"facebook: https://www.facebook.com/Tennis-Club-Gravelone-185788674786875
instagram: https://www.instagram.com/tc_gravelone",17,4.5,https://www.google.com/maps?cid=1694246422579841881,46.2352205,7.3509669,http://www.tcgravelone.ch/,tcgravelone.ch,https://lh3.googleusercontent.com/p/AF1QipNQpw7I4PufEmR97Br52laG7_7PGuydRwUVgWMH,ChIJU0YgOTbcjkcRWQvZEyUsgxc,padel
TENNIS CLUB DE GEX,161 Rue Georges Charpak,01170 Gex,"Tennis club, Sports club",Europe/Paris,+33 4 50 41 43 20,"04 50 41 43 20, +33 4 50 41 43 20",TENNIS CLUB DE GEX (Owner),,,13,4.6,https://www.google.com/maps?cid=10731243438569755200,46.3355111,6.065575,https://tenup.fft.fr/club/50010086?utm_source=gmb,tenup.fft.fr,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NNBHSnHkiX5_V0JcqCcIcw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=352.3248&pitch=0&thumbfov=100,ChIJ01FBhgphjEcRQBIxAg0J7ZQ,padel
CTT Gland,Chem. de la Perroude 1,1196 Gland,Table tennis club,Europe/Zurich,,,CTT Gland (Owner),,,5,5,https://www.google.com/maps?cid=14039606060357099868,46.4250975,6.2601206,http://www.ctt-gland.ch/,ctt-gland.ch,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyz_wr4WyjxivxCh2P7YTHkF9n6G0hOcD5nGwadWNCDdDe4wEDdwI-sZ9EDbVXgAtpqdlDlixmyuEVKzrtitd4wadC1NfjaRb8lPENgQIm-94zYYt04ZPcpQwyR7__0X4yUHh61,ChIJBd198J5EjEcRXKEBrlOz1sI,padel
Tennisclub Wohlensee,TC Wohlensee,Araweg 4,"Tennis club, Padel court",Europe/Zurich,+41 31 901 07 77,"031 901 07 77, +41 31 901 07 77",Tennisclub Wohlensee (Owner),"admin@tcwohlensee.ch,spielbetrieb@tcwohlensee.ch","facebook: https://www.facebook.com/WohlenseeCup
instagram: https://www.instagram.com/tcwohlensee",34,4.6,https://www.google.com/maps?cid=16778943457471425113,46.960843,7.3746259,https://www.tcwohlensee.ch/,tcwohlensee.ch,https://lh3.googleusercontent.com/p/AF1QipNd9RQuQrpCMUxqkeEY06EYT3d6-WAt8Y71taec,ChIJSX0srbQ-jkcRWeryCC3I2ug,padel
Equip Sport Rental (Padel),Chem. du Pécos 35,1422 Grandson,"Sports equipment rental service, Adventure sports center, Athletic field",Europe/Zurich,+41 21 539 16 49,"021 539 16 49, +41 21 539 16 49",Equip Sport Rental (Padel) (Owner),,"facebook: https://www.facebook.com/Equip.Sport.Application
instagram: https://www.instagram.com/equip.sport.app
linkedin: https://www.linkedin.com/company/equipsport
youtube: https://www.youtube.com/@equip_sport",,,https://www.google.com/maps?cid=11727398989560479285,46.8022465,6.6345135,https://equip.sport/?utm_source=uberall,equip.sport,https://lh3.googleusercontent.com/p/AF1QipN8aGWVjuXU0BcrUJIrVgVjX1VWBkUYnwG5lJGo,ChIJV2l_DzHFjUcRNf4GID8XwKI,padel
Tennis Club,17 Rue de la Cigogne,68310 Wittelsheim,Tennis club,Europe/Paris,+33 6 17 38 88 47,"06 17 38 88 47, +33 6 17 38 88 47",Tennis Club (Owner),,,25,4.5,https://www.google.com/maps?cid=319071770664562781,47.7984102,7.227564,https://tenup.fft.fr/club/55680049?utm_source=gmb,tenup.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzlaIWm9FpDXdpvwSZRcZOoghSCwmbOUrRiX15lQZoih19OoPjnUZbKCBKO62pZ5E0H-HxIygv334RLLXnRSUyLbymYco93kND3JotIFn634NBEFzPym06MkJg5-7ms3BRjP_U,ChIJvd6HfQyDkUcRXfBQvBWSbQQ,padel
"Centre de tennis, de squash et de padel-tennis",Chem. des Sports 21,1523 Granges-près-Marnand,"Padel court, Badminton court, Tennis court, Squash court",Europe/Zurich,+41 26 668 22 98,"026 668 22 98, +41 26 668 22 98","Centre de tennis, de squash et de padel-tennis (Owner)",,,19,4,https://www.google.com/maps?cid=4268048603141553257,46.7647395,6.895006,https://tennisgranges.ch/,tennisgranges.ch,https://lh3.googleusercontent.com/p/AF1QipPiJED94KoIX2mmlueoSnJGAMVZ7CAt_1wXj7eT,ChIJ9z0llcN5jkcRabxaapcnOzs,padel
Doubs Paddle,2 Rue du Pont,25720 Avanne-Aveney,Sports club,Europe/Paris,+33 6 51 24 35 46,"06 51 24 35 46, +33 6 51 24 35 46",Doubs Paddle (Owner),,,,,https://www.google.com/maps?cid=10571148350933794320,47.1991611,5.9604983,,,https://lh3.googleusercontent.com/p/AF1QipO4QxrZTBJ_8bYLomKQeAMAptQYZtaiut5h7ssJ,ChIJ1R28nIdljUcREH5dtWpDtJI,padel
AS ENTREMONT RIXHEIM,2 Rue du Dr Albert Schweitzer,68170 Rixheim,"Tennis club, Sports club",Europe/Paris,+33 3 89 64 27 37,"03 89 64 27 37, +33 3 89 64 27 37",AS ENTREMONT RIXHEIM (Owner),,,8,4.1,https://www.google.com/maps?cid=18178007664204320659,47.7539367,7.3884344,https://tenup.fft.fr/club/55680062?utm_source=gmb,tenup.fft.fr,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0au7DmQiq3UT63IMzk71Hw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=57.351063&pitch=0&thumbfov=100,ChIJvwc6lC-bkUcRkw86zahBRfw,padel
MOULINS TENNIS,13 Rue de la Baigneuse,03000 Moulins,"Tennis club, Sports club",Europe/Paris,+33 4 70 44 34 93,"04 70 44 34 93, +33 4 70 44 34 93",MOULINS TENNIS (Owner),,,27,4.6,https://www.google.com/maps?cid=14898933379705309313,46.562969,3.349578,https://tenup.fft.fr/club/50030010?utm_source=gmb,tenup.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwgXFLm9M4p5vFNERND8DwKMhKj1A1l0ZS1akkrHI0KNzW1oxVCIx1g92KRplL0m46u3NdVww8VOLpsGd2boCblanAllwMVwkqNMn03XD6YKtaiwfpRSRznHsTGZjyPSaOfpv60,ChIJPQcDLowd8UcRgYiLjfikw84,padel
Pro-Tennis Bern,Austrasse 36,3176 Bern,"Tennis club, Tennis center, Tennis court, Tennis instructor, Tennis store",Europe/Zurich,+41 79 885 55 36,"079 885 55 36, +41 79 885 55 36",Pro-Tennis Bern (Owner),,,1,5,https://www.google.com/maps?cid=1215788621498181562,46.8941495,7.3090385,http://www.facebook.com/protennisbernofficial,facebook.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyckvov0ID6wHJnvGMNFblzOi0tPSCY3f9juZkrdBW8V2Xa5dULxHOaRlse5ckRx1biaQvQWdO72kRlzNFUcgmWLj7EEuybXorv6ksEaY2Dn_ozprZms4Nak9GzYF2IMg0bvJw,ChIJb_tfOX1AjkcRumdcSk9Z3xA,padel
CHALON SUR SAONE GAZELEC A.S.,16 Avenue Victor Hugo,71100 Chalon-sur-Saône,Tennis club,Europe/Paris,+33 3 85 93 70 00,"03 85 93 70 00, +33 3 85 93 70 00",CHALON SUR SAONE GAZELEC A.S. (Owner),,,,,https://www.google.com/maps?cid=1802966523804649234,46.7889052,4.8445335,https://tenup.fft.fr/club/51710088?utm_source=gmb,tenup.fft.fr,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=peD93FoD7JbfRSlgPkk6JA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=18.141981&pitch=0&thumbfov=100,ChIJSyAJMp798kcREgdMOYBsBRk,padel
Comité Départemental de Tennis de la Haute Marne,7 Rue Nicolas Mougeot,52000 Chaumont,Tennis club,Europe/Paris,+33 3 25 32 32 60,"03 25 32 32 60, +33 3 25 32 32 60",Comité Départemental de Tennis de la Haute Marne (Owner),,,1,5,https://www.google.com/maps?cid=11936689600470933502,48.1129469,5.137692,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YIcd0TZLCAcVNod8ldxJfQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=293.15875&pitch=0&thumbfov=100,ChIJW87itm_l7EcR_l8rxvKjp6U,padel
Peak Tennis International,Av. Rollier 2a,1854 Leysin,"Tennis club, Physical fitness program, Retreat center, Sports school, Summer camp organizer, Tennis store, Wellness program",Europe/Zurich,+41 79 137 56 79,"079 137 56 79, +41 79 137 56 79",Peak Tennis International (Owner),info@peaktennisinternational.com,"facebook: https://www.facebook.com/peak.tennis.international
instagram: https://www.instagram.com/peak_tennis_international
linkedin: https://www.linkedin.com/company/peak-tennis-international
tiktok: https://www.tiktok.com/@peaktennisinternational
youtube: https://www.youtube.com/@peaktennisinternational",15,5,https://www.google.com/maps?cid=13482977133475864577,46.3439238,7.01317,https://www.peaktennisinternational.com/,peaktennisinternational.com,https://lh3.googleusercontent.com/p/AF1QipOAmnXlHX_Ab5Evjid0DkQm3mvYsmgtlfXIlCAb,ChIJ3RWmEzCXjkcRASCLW0QoHbs,padel
Tennisclub Lyss,Wannersmattweg 1,3250 Lyss,Tennis club,Europe/Zurich,+41 32 384 12 80,"032 384 12 80, +41 32 384 12 80",Tennisclub Lyss (Owner),,,15,4.3,https://www.google.com/maps?cid=6494827101116326784,47.0637895,7.3154726,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx8GQupZ6BB_pzbUBm2C4YwgE_sEhMIuTuPMZJIaf8f1jzOffgbFb4odvmDiKnPBgGW_hXHJ7RPAez_UzHrU-njZSO689unf708Rd21NcxB2nXdkrB23AyDsEuZy2zKkKBV4bBk2A,ChIJPdKDJ6wijkcRgGOeX9ZCIlo,padel
ETUEFFONT T.C. MUNICIPAL,Rue Principale,90000 Belfort,"Tennis club, Sports club",Europe/Paris,+33 3 84 54 66 12,"03 84 54 66 12, +33 3 84 54 66 12",ETUEFFONT T.C. MUNICIPAL (Owner),,,,,https://www.google.com/maps?cid=9247531077915758564,47.6437604,6.8437053,https://tenup.fft.fr/club/51900074?utm_source=gmb,tenup.fft.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwC5z5uz2sAVzWba1eUVuzKyykOKx-4n_bjjVRb85n-2DB74hqdF6lRPI3hD3-idcHPEvF2dIomNjYF7TJJK2wO0rdNwYyUkLcGF9ms_CYTTSIPzzWoaCOaejMHDADq0E9cducE_w,ChIJEwUwFR87kkcR5M-NFIXUVYA,padel
FRANOIS-SERRE-LES SAPINS T.C.,24 Rue du Four À Chaux,25320 Torpes,"Tennis club, Sports club",Europe/Paris,,,FRANOIS-SERRE-LES SAPINS T.C. (Owner),,,,,https://www.google.com/maps?cid=16863914665865283357,47.227413,5.921062,https://tenup.fft.fr/club/51250139?utm_source=gmb,tenup.fft.fr,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eq54ZRfCOU8UyoE65ID2lw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=171.89932&pitch=0&thumbfov=100,ChIJd0GibnxhjUcRHYdmLQqpCOo,padel
G Padel Strasbourg,4 Rue de l'Industrie,67450 Mundolsheim,Padel club,Europe/Paris,+33 3 88 38 69 69,"03 88 38 69 69, +33 3 88 38 69 69",G Padel Strasbourg (Owner),contact@g-padel.fr,"instagram: https://www.instagram.com/p,https://www.instagram.com/gpadel.strasbourg",294,4.9,https://www.google.com/maps?cid=475580924573875714,48.636124,7.7227827,https://gpadel.fr/,gpadel.fr,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwbPj5AP3ircEpNwQVC_pvoFJb29YbdzUE0MD23ZTScgOmoCPuhKJfjll8fGxiBZGafSITlDeZkmZc83yjCEo1PCFJo18xMlIGxDiEyw7uM5ru4qL0VgOxBJggcqfgi6RMomck43A,ChIJJw5ErEe5lkcRAn4tx1SamQY,padel
4PADEL Strasbourg,8 Rue Emile Mathis,67201 Eckbolsheim,Padel club,Europe/Paris,+33 3 69 23 44 09,"03 69 23 44 09, +33 3 69 23 44 09",4PADEL Strasbourg (Owner),"annemasse@4padel.fr,argenteuil@4padel.fr,bordeaux@4padel.fr,boulogne-billancourt@4padel.fr,saint-denis@4padel.fr,challans@4padel.fr,creteil@4padel.fr,dunkerque@4padel.fr,epinay@4padel.fr,seclin@4padel.fr,limoges@4padel.fr,marville@4padel.fr,metz.sud@4padel.fr,montreuil@4padel.fr,mulhouse@4padel.fr,orleans@4padel.fr,paris20@4padel.fr,reims@4padel.fr,saint-louis@4padel.fr,sudreunion@4padel.fr,strasbourg@4padel.fr,colomiers@4padel.fr,vaires.torcy@4padel.fr,rouen@4padel.fr","facebook: https://www.facebook.com/4PADELFrance
instagram: https://www.instagram.com/4padel
linkedin: https://www.linkedin.com/company/groupelefive
twitter: https://x.com/4PADELFrance",141,4.7,https://www.google.com/maps?cid=13430971359378433165,48.5898704,7.68052,http://www.4padel.fr/,4padel.fr,https://lh3.googleusercontent.com/p/AF1QipP9yd7LVWhyEgXykfFf-z1-xV7g1dsn01Cd2GdD,ChIJpdhqUrW3lkcRjWQygEplZLo,padel
Vidapadel,11 Rue Jean Jaurès,54320 Maxéville,"Padel club, Badminton complex, Badminton court, Bar, Padel court, Pickleball court, Restaurant, Seminary, Sports bar, Sports complex",Europe/Paris,+33 3 72 47 23 23,"03 72 47 23 23, +33 3 72 47 23 23",Vidapadel (Owner),vidapadelnancy@gmail.com,"instagram: https://www.instagram.com/vidapadel_
linkedin: https://www.linkedin.com/company/vidapadel-nancy
tiktok: https://www.tiktok.com/@vidapadel",79,4.9,https://www.google.com/maps?cid=14668574506062145528,48.7090876,6.1697104,https://www.vidapadel.fr/,vidapadel.fr,https://lh3.googleusercontent.com/p/AF1QipNRRG3zHyCIaNxcjNGovySBC0cG2BumWCbCAxTv,ChIJQXK0ZpajlEcR-Gcvu8s-kcs,padel
PadelShot Metz,10 Avenue de Thionville,Parc des Varimonts,Padel club,Europe/Paris,+33 6 52 89 71 65,"06 52 89 71 65, +33 6 52 89 71 65",PadelShot Metz (Owner),"metz@padelshot.fr,frederic.casci@padelshot.fr","facebook: https://www.facebook.com/people/PadelShot-Metz/61555689470931
instagram: https://www.instagram.com/padelshot_metz,https://www.instagram.com/p
linkedin: https://www.linkedin.com/company/padelshot",185,4.9,https://www.google.com/maps?cid=1582298538439582684,49.1451678,6.1589423,http://metz.padelshot.fr/,metz.padelshot.fr,https://lh3.googleusercontent.com/p/AF1QipMeuiTm2Lx8QB6K54IHh2TuyHseuMtLicNnabIc,ChIJocn6bwDZlEcR3KNPKCN09RU,padel
maba! padel Mannheim GmbH,Wattstraße 23,68199 Mannheim,Padel court,Europe/Berlin,+49 160 91112486,"0160 91112486, +49 160 91112486",maba! padel Mannheim GmbH (Owner),"info@padelmannheim.de,shop@padelmannheim.de",instagram: https://www.instagram.com/padel.mannheim,102,4.8,https://www.google.com/maps?cid=9368180049010204001,49.4647616,8.4953228,https://padelmannheim.de/,padelmannheim.de,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzLX8__4UpjVb6PdoD82A3F9DUTgAaFSnKzwxZ0A3t9wNbQfJuUAPqEVNEL7fY1W8miB5S938iyd3LHeahfY4bOv2hi0aldvmoUaWo-xbda-Bty2E4BLCMXQkFkU80urNAi_3Ps,ChIJuXPpIK7Pl0cRYZ0nrR52AoI,padel
4PADEL Metz,Zone d'aménagement concerté de la Rotonde,Rte de Jouy,"Padel court, Amusement center, Padel club, Sports bar, Tennis store",Europe/Paris,+33 3 55 74 82 69,"03 55 74 82 69, +33 3 55 74 82 69",4PADEL Metz (Owner),"annemasse@4padel.fr,argenteuil@4padel.fr,bordeaux@4padel.fr,boulogne-billancourt@4padel.fr,saint-denis@4padel.fr,challans@4padel.fr,creteil@4padel.fr,dunkerque@4padel.fr,epinay@4padel.fr,seclin@4padel.fr,limoges@4padel.fr,marville@4padel.fr,metz.sud@4padel.fr,montreuil@4padel.fr,mulhouse@4padel.fr,orleans@4padel.fr,paris20@4padel.fr,reims@4padel.fr,saint-louis@4padel.fr,sudreunion@4padel.fr,strasbourg@4padel.fr,colomiers@4padel.fr,vaires.torcy@4padel.fr,rouen@4padel.fr","facebook: https://www.facebook.com/4PADELFrance
instagram: https://www.instagram.com/4padel
linkedin: https://www.linkedin.com/company/groupelefive
twitter: https://x.com/4PADELFrance",111,4.8,https://www.google.com/maps?cid=5179475689290054341,49.0860445,6.118558,https://4padel.fr/,4padel.fr,https://lh3.googleusercontent.com/p/AF1QipMMi5WJVP7yM5_ECZyIG1gQQhq5Bl7caFruXNiC,ChIJvatSTtTblEcRxbrnhrIx4Uc,padel
PADFIVE,13/17 espace des 4 chemins,54720 Lexy,"Padel court, Padel club, Soccer field, Sports complex",Europe/Paris,+33 7 89 42 11 14,"07 89 42 11 14, +33 7 89 42 11 14",PADFIVE (Owner),,,98,4.6,https://www.google.com/maps?cid=16563616683634105648,49.5086297,5.7136605,https://padfive.fr/,padfive.fr,https://lh3.googleusercontent.com/p/AF1QipNCo9mRJKuHIAgHW6AHSPmeMkDyNUR7UqrAEu3T,ChIJNfyVNd3H6kcRMJ2-r53J3eU,padel
Le Spark Padel,325 Rue Lavoisier,54710 Ludres,Padel club,Europe/Paris,+33 3 65 67 51 30,"03 65 67 51 30, +33 3 65 67 51 30",Le Spark Padel (Owner),,"instagram: https://www.instagram.com/le_spark_padel,https://www.instagram.com/p
linkedin: https://www.linkedin.com/company/le-spark",22,4.8,https://www.google.com/maps?cid=11827479789246566272,48.6161261,6.1857992,https://le-spark.fr/,le-spark.fr,https://lh3.googleusercontent.com/p/AF1QipP_vouwZDpc8bF9zCrhrLmwBEf9x9d3BafOmXbJ,ChIJNVLPm-uflEcRgE8nIjSmI6Q,padel
Padel 360,2g Rue Poincaré,67800 Bischheim,Padel court,Europe/Paris,+33 7 80 91 69 43,"07 80 91 69 43, +33 7 80 91 69 43",Padel 360 (Owner),direction@padel360.fr,"facebook: https://www.facebook.com/Padel360France
instagram: https://www.instagram.com/padel__360
linkedin: https://www.linkedin.com/company/padel-360
youtube: https://youtube.com/@padel360,https://www.youtube.com/@Padel360",8,5,https://www.google.com/maps?cid=15474373153423111724,48.6136933,7.7322574,http://www.padel360.fr/,padel360.fr,https://lh3.googleusercontent.com/p/AF1QipM3L8uU9dyyub_fwj1vUsgxQOBKSfxtHNpCgolB,ChIJ2eZyKTzJlkcRLDagc2UEwNY,padel
Live Padel,42 Rte de Bergheim,67600 Sélestat,Padel court,Europe/Paris,+33 7 44 92 18 77,"07 44 92 18 77, +33 7 44 92 18 77",Live Padel (Owner),contact@livepadel.fr,"facebook: https://facebook.com/livepadelselestat
instagram: https://www.instagram.com/live_padel_selestat",10,4.8,https://www.google.com/maps?cid=2121946536660290225,48.252041,7.432844,https://www.livepadel.fr/,livepadel.fr,https://lh3.googleusercontent.com/p/AF1QipOS6ukU8bI1-75GN2Gzrto5znHJECUOK6eqciQU,ChIJU4V0BI9FkUcRscoB7iGrch0,padel
